field_id,filename,source_url,bytes,sha256,filter,target,proposal_id,date_obs
m81_deep,j9ra58tpq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra58tpq_flc.fits,168215040,88b11682f4befe07e580c2d2f7b5f8ac32a4d73d529553e43527453372d447a9,F606W,M81-DEEP,10915,2006-11-17
m81_deep,j9ra60o9q_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra60o9q_flc.fits,168215040,f2d027f7173c3a6554d41aa164ad96c1dbade4c6bfda954d639f1d289be8f268,F606W,M81-DEEP,10915,2006-11-16
m81_deep,j9ra61ojq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra61ojq_flc.fits,168215040,457eb1e87d20621bc2f1525e286dcc66a3813599173f10de0119811edacc816d,F606W,M81-DEEP,10915,2006-11-16
m81_deep,j9ra62wvq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra62wvq_flc.fits,168215040,e6dfb746c8aa8e53cb11b6d1b19e27b7c7588069ab82de6ae6a1d586f3119120,F606W,M81-DEEP,10915,2006-11-18
m81_deep,j9ra63wzq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra63wzq_flc.fits,168215040,78e12558c5db704b77ef02bbf79b3816ffb60d3418028eda3fd4d0f4fcc068f9,F606W,M81-DEEP,10915,2006-11-18
m81_deep,j9ra64n7q_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra64n7q_flc.fits,168215040,620c964cb1a8039372a0378cb83160bb12bd327f5d68c6b0221c2b553a2abc85,F606W,M81-DEEP,10915,2006-11-22
m81_deep,j9ra65dtq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra65dtq_flc.fits,168215040,f05eb9571bfe8da6951da1608bd90bda8018a989629bfb0e216d6c74058950bb,F606W,M81-DEEP,10915,2006-11-20
m81_deep,j9ra66ebq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra66ebq_flc.fits,168215040,624ca424446d77ce3ba5229eeaf1d44fff3b177f09997010929a7e3d5ad98f04,F606W,M81-DEEP,10915,2006-11-20
ngc2976_deep,j9ra48eeq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra48eeq_flc.fits,168215040,38c3fd91417e00feaff4729b3a018a159988de3432b8671911eb7b83f09ecce8,F606W,NGC2976-DEEP,10915,2007-01-08
ngc2976_deep,j9ra50eiq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra50eiq_flc.fits,168215040,2dabeeb4f001f6e21e8a09ab651764b297502b1dcf6a35c4bb9c44628c3d966d,F606W,NGC2976-DEEP,10915,2007-01-08
ngc2976_deep,j9ra51whq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra51whq_flc.fits,168215040,0a2be0ec344d933c67d2a46b7517531e9f1ba3085fc1b0c0ed2e41252bae2303,F606W,NGC2976-DEEP,10915,2006-12-29
ngc2976_deep,j9ra52wlq_flc.fits,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9ra52wlq_flc.fits,168215040,5b1b9e0292dc31a19d293d2db58c11e060160729619bb9411ab0d96723656cab,F606W,NGC2976-DEEP,10915,2006-12-29
