file,bytes,sha256,role
hlsp_angst_hst_acs-wfc_10915-m81-deep_f606w-f814w_v1_gst.fits,14379840,7dc48ea68d81e14a9c656160350d9152f44ce7c189bb2487826282e7c9b4ed66,finite DOLPHOT-derived GST comparison catalogue
hlsp_angst_hst_acs-wfc_10915-m81-deep_f814w_v1_ref.fits,71519040,338b60f2c21a6715a22ee0d2290fc87c2d464028f981f972cfa1b3f2939b5631,official F814W reference image
hlsp_angst_hst_acs-wfc_10915-ngc2976-deep_f606w-f814w_v1_gst.fits,8867520,9e9e322405c85da5d676db37bb8269a7cb1f1adc0c846b1d696a1a5af05513d8,finite DOLPHOT-derived GST comparison catalogue
hlsp_angst_hst_acs-wfc_10915-ngc2976-deep_f814w_v1_ref.fits,71605440,4ba2ce6bd1aced92d285b6ba33a23aac9cbf3ec7ba852dccd19a2ebf2acf6ef1,official F814W reference image
