astrometric_rms_mas,astrometric_rms_mas_ci95,astrometric_rms_px,candidates,cluster,high_density_v20_ci95,high_density_v20_n,high_density_v20_recall,label,measurement_ci_method,measurement_test_matches,method,n_v_le_18,n_v_le_20,n_v_le_22,peak_rss_delta_mb,photometric_rms_mag,photometric_rms_mag_ci95,recall_v_le_18,recall_v_le_20,recall_v_le_22,runtime_s,runtime_s_per_mpix,test_catalog_match_lower_bound,test_completeness,test_completeness_ci95,test_recovered,test_references
50.33797923970389,"[np.float64(49.2425098400209), np.float64(51.54266323137188)]",1.0067595847940778,11183,ngc2808,"[0.08214586786647941, 0.10292150794583739]",2978,0.09200805910006717,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",603,dao,538,3703,6288,39.86328125,1.6405921164381876,"[np.float64(1.5429062378724623), np.float64(1.7356619044284207)]",0.09293680297397769,0.09316770186335403,0.09319338422391857,0.17758290001074784,0.12332145834079711,0.3145290047897818,0.09252120277563608,"[0.08570795598340201, 0.09981693030755014]",600,6485
50.92541390436537,"[np.float64(49.66234217263426), np.float64(52.12687159468393)]",1.0185082780873074,7393,ngc2808,"[0.06123421955992866, 0.07956521123478558]",2978,0.06984553391537945,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",487,sep,538,3703,6288,11.08203125,1.886047583963989,"[np.float64(1.7634354171142113), np.float64(2.0003670985765205)]",0.08364312267657993,0.07075344315419929,0.07538167938931298,6.857925099990098,4.762447986104235,0.3386844166014096,0.07494217424826523,"[0.06878239270325756, 0.0816052512176543]",486,6485
50.20909716845953,"[np.float64(49.04681460628514), np.float64(51.34266193078283)]",1.0041819433691905,11183,ngc2808,"[0.08182749506881588, 0.10256915430384027]",2978,0.09167226326393553,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",597,photutils_psf,538,3703,6288,524.88671875,1.584220517907946,"[np.float64(1.4872369355981505), np.float64(1.6788836722786316)]",0.09293680297397769,0.09235754793410748,0.09239821882951654,30.637076399987563,21.275747499991365,0.31373070782331025,0.09159599074787972,"[0.08481501944852371, 0.09886053829663685]",594,6485
50.46623892222131,"[np.float64(49.485239975331076), np.float64(51.46401599386715)]",1.0093247784444261,13451,ngc2808,"[0.10420456402320251, 0.1271429361256987]",2978,0.11517797179314976,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",741,wpdc_epsf_deblend,538,3703,6288,52.07421875,1.6600814490830273,"[np.float64(1.5689236189255498), np.float64(1.7535276582514487)]",0.11895910780669144,0.11504185795301107,0.11434478371501272,107.67709750001086,74.77576215278532,0.3176315210213515,0.11364687740940632,"[0.10614978247127896, 0.12160143894858125]",737,6485
50.15011659419423,"[np.float64(49.06975067593665), np.float64(51.21302945732863)]",1.0030023318838845,12673,ngc2808,"[0.09715321406280818, 0.11943830441355892]",2978,0.10779046339825386,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",683,wpdc_spatial_epsf_joint,538,3703,6288,51.45703125,1.6819273765519076,"[np.float64(1.592935008921497), np.float64(1.7658206950862252)]",0.11524163568773234,0.10775047258979206,0.10607506361323155,121.30862590001198,84.24210131945276,0.3132726848612083,0.10501156515034696,"[0.0977824172668308, 0.11270840439230788]",681,6485
2.460037871599974,"[np.float64(2.355659496018548), np.float64(2.5699521325842483)]",0.049200757431999476,3725,ngc5286,"[0.4089159679812886, 0.4621331880804206]",1330,0.43533834586466164,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1127,dao,260,1753,5145,40.34375,0.17299723408004156,"[np.float64(0.1652118463606478), np.float64(0.1810023712887687)]",0.8,0.4740444951511694,0.21904761904761905,0.15010780000011437,0.1042415277778572,0.9580364212193191,0.17826637140145524,"[0.1690278765568133, 0.18789563540719165]",1127,6322
9.035749919090673,"[np.float64(8.71248215372897), np.float64(9.351658101043938)]",0.18071499838181346,9210,ngc5286,"[0.5590302010701174, 0.6119046385690123]",1330,0.5857142857142857,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2709,sep,260,1753,5145,11.2578125,0.3175370591483706,"[np.float64(0.3091528207020681), np.float64(0.32627585582862056)]",0.7,0.6001140901312036,0.5240038872691934,12.186969699978363,8.463173402762752,0.9384463462804477,0.426763682378994,"[0.41461937380245756, 0.4389969418510992]",2698,6322
6.7971601071484296,"[np.float64(6.472135156379654), np.float64(7.121682459417045)]",0.1359432021429686,3688,ngc5286,"[0.4081715320104875, 0.4613781956333346]",1330,0.4345864661654135,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1120,photutils_psf,260,1753,5145,56.125,0.1816001281652376,"[np.float64(0.17339884832168262), np.float64(0.18984827786601385)]",0.7961538461538461,0.47290359383913294,0.2172983479105928,10.850903899990954,7.535349930549273,0.9585987261146497,0.176842771274913,"[0.16763471872368835, 0.18644332205431657]",1118,6322
7.221305842630413,"[np.float64(6.939157743644348), np.float64(7.514873047214738)]",0.14442611685260826,6146,ngc5286,"[0.5688728595739281, 0.6215545494977339]",1330,0.5954887218045113,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",1851,wpdc_epsf_deblend,260,1753,5145,56.94140625,0.1145072252043387,"[np.float64(0.11002453747267034), np.float64(0.118821220367568)]",0.8423076923076923,0.6280661722760981,0.3589893100097182,33.64597139999387,23.36525791666241,0.9492168960607499,0.2921543815248339,"[0.2810733307996481, 0.3034878760443552]",1847,6322
3.749461520809716,"[np.float64(3.6487535564930185), np.float64(3.854374847917223)]",0.07498923041619432,11476,ngc5286,"[0.8931732912398963, 0.924015196508574]",1330,0.9097744360902256,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",3240,wpdc_spatial_epsf_joint,260,1753,5145,50.88671875,0.11353133294633848,"[np.float64(0.11025260554975547), np.float64(0.11669641875515072)]",0.9653846153846154,0.9144324015972618,0.6285714285714286,97.91434219997609,67.99607097220562,0.937905949597298,0.5115469788041759,"[0.49922165596249984, 0.5238582769906109]",3234,6322
5.197102585843011,"[np.float64(5.079983083333856), np.float64(5.320499079523453)]",0.10394205171686022,12583,ngc6388,"[0.7524903510502395, 0.794513355704291]",1519,0.7741935483870968,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",3322,dao,599,2135,6403,39.9296875,0.20904325423086006,"[np.float64(0.20356316960245832), np.float64(0.2139341040335247)]",0.8914858096828047,0.7822014051522248,0.5188193034515071,0.20053150001331232,0.13925798612035578,0.9329210275927687,0.4787433347744632,"[0.4670043666376705, 0.4905058263069589]",3322,6939
15.82519158938391,"[np.float64(15.306123342581278), np.float64(16.31752021010195)]",0.3165038317876782,8337,ngc6388,"[0.7031600909493689, 0.7479702170222546]",1519,0.7261356155365372,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2282,sep,599,2135,6403,2.375,0.36925303014887095,"[np.float64(0.3591738646272295), np.float64(0.3788972549704704)]",0.6026711185308848,0.6693208430913349,0.35623926284554114,9.052488600020297,6.286450416680761,0.9512550018188433,0.32872171782677617,"[0.31776632038056885, 0.3398666580241234]",2281,6939
4.468537410605439,"[np.float64(4.3555884422879005), np.float64(4.569422386520384)]",0.08937074821210877,12579,ngc6388,"[0.7531686726424287, 0.7951483683420046]",1519,0.7748518762343647,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",3325,photutils_psf,599,2135,6403,673.71484375,0.1155293537111377,"[np.float64(0.1126610449115321), np.float64(0.11852774255982453)]",0.8948247078464107,0.7840749414519906,0.5192878338278932,36.43676450001658,25.30330868056707,0.9305753685211603,0.4791756737282029,"[0.4674360382735207, 0.4909383541366416]",3325,6939
5.433546340520652,"[np.float64(5.301092258792065), np.float64(5.557493962570983)]",0.10867092681041304,14838,ngc6388,"[0.8001670055775082, 0.8387700972702207]",1519,0.8202764976958525,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",3727,wpdc_epsf_deblend,599,2135,6403,57.0859375,0.16835165977529465,"[np.float64(0.1643657654500932), np.float64(0.17250086985049493)]",0.9165275459098498,0.824824355971897,0.5819147274714978,108.73317960000713,75.50915250000496,0.926779935275081,0.5369649805447471,"[0.5252153376295732, 0.5486737166734947]",3726,6939
5.437345607821534,"[np.float64(5.3015097377523235), np.float64(5.566369184488425)]",0.10874691215643068,14265,ngc6388,"[0.7851380592759276, 0.8249056905139389]",1519,0.8057932850559578,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",3611,wpdc_spatial_epsf_joint,599,2135,6403,51.03125,0.16680598218284304,"[np.float64(0.16266902051493065), np.float64(0.1707676982114745)]",0.9065108514190318,0.8107728337236534,0.5637982195845698,126.79776980000315,88.05400680555773,0.9274752995585454,0.5202478743334774,"[0.5084849557972639, 0.5319883858385297]",3610,6939
3.148186653668604,"[np.float64(3.0084983893340924), np.float64(3.2887849993005696)]",0.06296373307337208,3852,ngc6441,"[0.427766155212903, 0.4897257267932436]",990,0.4585858585858586,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1043,dao,616,1575,5850,36.48046875,0.16149040337243614,"[np.float64(0.154380798582748), np.float64(0.16890049326722273)]",0.5974025974025974,0.44634920634920633,0.17811965811965813,0.1498736000212375,0.10407888890363716,0.9530516431924883,0.15258456582222873,"[0.14425138860584508, 0.16130839489623405]",1042,6829
16.320418315511905,"[np.float64(15.801229873222065), np.float64(16.881908363818425)]",0.32640836631023806,7793,ngc6441,"[0.668658818733537, 0.725770233139518]",990,0.697979797979798,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2082,sep,616,1575,5850,3.0078125,0.3528958197437367,"[np.float64(0.3414933491307874), np.float64(0.3636236874797855)]",0.5941558441558441,0.633015873015873,0.35555555555555557,7.8128829000052065,5.425613125003616,0.9517268445839875,0.3045833943476351,"[0.29378003924473134, 0.31560648597487856]",2080,6829
7.662001577756958,"[np.float64(7.302269696198022), np.float64(8.048221164707067)]",0.15324003155513916,3852,ngc6441,"[0.427766155212903, 0.4897257267932436]",990,0.4585858585858586,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1041,photutils_psf,616,1575,5850,57.58984375,0.17901560865657334,"[np.float64(0.17066021437500087), np.float64(0.1870018044856491)]",0.5957792207792207,0.44571428571428573,0.17777777777777778,10.661108500004048,7.403547569447255,0.9538702111024238,0.15229169717381755,"[0.14396539379817097, 0.16100898172372025]",1040,6829
12.855187838301779,"[np.float64(12.39001740637196), np.float64(13.362374794092869)]",0.2571037567660356,6224,ngc6441,"[0.4941082431061286, 0.5562015849389041]",990,0.5252525252525253,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",1731,wpdc_epsf_deblend,616,1575,5850,51.0703125,0.20320290796078147,"[np.float64(0.19608189977441912), np.float64(0.20980205267382115)]",0.6233766233766234,0.5034920634920635,0.29555555555555557,35.783754900010535,24.849829791673983,0.9672531769305963,0.25318494655147167,"[0.24301225151947048, 0.26363517317715934]",1729,6829
6.149363509730273,"[np.float64(6.004739611303787), np.float64(6.302896709831707)]",0.12298727019460547,14031,ngc6441,"[0.8397764024462803, 0.8826727282803867]",990,0.8626262626262626,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",3650,wpdc_spatial_epsf_joint,616,1575,5850,51.3203125,0.19225599374426836,"[np.float64(0.18733200409964046), np.float64(0.19706556995847138)]",0.922077922077922,0.8647619047619047,0.6235897435897436,133.93662049999693,93.01154201388675,0.9443254817987152,0.5341924147020062,"[0.5223452782864457, 0.5460011034004941]",3648,6829
1.8977263146363637,"[np.float64(1.8144812567474142), np.float64(1.9779976336829657)]",0.037954526292727275,3923,ngc0104,"[0.17425016187523928, 0.20083320061482968]",3307,0.1871787118234049,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1194,dao,2266,4806,5360,36.2265625,0.11383293723798793,"[np.float64(0.1083992656483905), np.float64(0.11947590402021255)]",0.44263018534863197,0.2482313774448606,0.22257462686567164,0.15625960001489148,0.10851361112145241,0.9564237415477085,0.22137687882724066,"[0.21049262854169085, 0.2326580844330792]",1193,5389
6.310293355588252,"[np.float64(6.083618022602771), np.float64(6.538865628054485)]",0.12620586711176504,9459,ngc0104,"[0.5166843039621635, 0.5506701717095207]",3307,0.53371635923798,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2761,sep,2266,4806,5360,11.375,0.2652525316742934,"[np.float64(0.25754388642049186), np.float64(0.273013429783939)]",0.6650485436893204,0.5736579275905118,0.514365671641791,13.731418799987296,9.535707499991178,0.9398960363872645,0.5115976990165151,"[0.49824806627970325, 0.5249308084715966]",2757,5389
4.31736943453324,"[np.float64(4.059196995670806), np.float64(4.552353093794776)]",0.0863473886906648,3923,ngc0104,"[0.17513159022430627, 0.20176400031074074]",3307,0.18808587843967342,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1196,photutils_psf,2266,4806,5360,68.12890625,0.12147486958365354,"[np.float64(0.1155366300726477), np.float64(0.127222489957493)]",0.44263018534863197,0.2486475239284228,0.22294776119402984,11.19724189999397,7.775862430551367,0.9564891222805701,0.22174800519576915,"[0.2108568552773886, 0.23303558168942304]",1195,5389
3.1265411537467203,"[np.float64(2.987158089449754), np.float64(3.256162960461461)]",0.0625308230749344,6344,ngc0104,"[0.32572653264884516, 0.35803967350248495]",3307,0.341699425461143,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",1924,wpdc_epsf_deblend,2266,4806,5360,53.68359375,0.07244975580523498,"[np.float64(0.06965617339254758), np.float64(0.07532178258423868)]",0.5909090909090909,0.40012484394506864,0.3587686567164179,32.49597150000045,22.566646875000313,0.9670433145009416,0.3568380033401373,"[0.3441533346644026, 0.3697266354055508]",1923,5389
2.1126241475164393,"[np.float64(2.058563089348213), np.float64(2.1655368110851922)]",0.04225248295032879,12017,ngc0104,"[0.6551024143294957, 0.6871066481638595]",3307,0.6713032960387058,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",3432,wpdc_spatial_epsf_joint,2266,4806,5360,51.7109375,0.08010815959195446,"[np.float64(0.07781500685595219), np.float64(0.08218848646713181)]",0.8896734333627537,0.713899292550978,0.6401119402985075,97.37195800000336,67.61941527778012,0.9487569761542364,0.6366672852106142,"[0.6237327909094292, 0.6494070691598892]",3431,5389
1.75806686917971,"[np.float64(1.6858354022510897), np.float64(1.835071391141246)]",0.0351613373835942,3363,ngc0362,"[0.23348801612980172, 0.27144318720151417]",2008,0.25199203187250996,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1038,dao,465,3027,4715,39.8671875,0.256796309841653,"[np.float64(0.24368311594962902), np.float64(0.2684888859912678)]",0.7483870967741936,0.34291377601585726,0.22014846235418875,0.20875710001564585,0.1449702083441985,0.965034965034965,0.20340975896531452,"[0.19259025294438245, 0.2146754824956986]",1038,5103
5.755056037090509,"[np.float64(5.548355290108847), np.float64(5.981785223993286)]",0.11510112074181018,7204,ngc0362,"[0.40235609167596037, 0.44554445874510645]",2008,0.42380478087649404,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2155,sep,465,3027,4715,15.02734375,0.29262319419259597,"[np.float64(0.28356375250306326), np.float64(0.30130718869435535)]",0.4967741935483871,0.5067723818962669,0.456203605514316,10.44173329998739,7.251203680546799,0.9300291545189504,0.42151675485008816,"[0.40803210938223966, 0.4351194776965529]",2151,5103
3.8963792249695013,"[np.float64(3.6720533793874024), np.float64(4.148313717062527)]",0.07792758449939002,3331,ngc0362,"[0.23106516325087828, 0.26889546983276]",2008,0.2495019920318725,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1018,photutils_psf,465,3027,4715,41.140625,0.25706219747219333,"[np.float64(0.2444210155501726), np.float64(0.2689402809395387)]",0.7462365591397849,0.33597621407333994,0.21569459172852598,10.129914300021483,7.034662708348252,0.9627989371124889,0.19929453262786595,"[0.18856210087861286, 0.21047937320979437]",1017,5103
4.544938170280782,"[np.float64(4.348355565767171), np.float64(4.72421879731548)]",0.09089876340561563,5800,ngc0362,"[0.4975528024136578, 0.5412176455182272]",2008,0.5194223107569721,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",1764,wpdc_epsf_deblend,465,3027,4715,56.75390625,0.08931223031098426,"[np.float64(0.08594406947617673), np.float64(0.09281818608340628)]",0.9354838709677419,0.5827552031714569,0.37412513255567337,27.22642680001445,18.90724083334337,0.9520686175580222,0.345679012345679,"[0.33275055248992014, 0.3588396468223124]",1764,5103
2.4616420166866395,"[np.float64(2.378405882657112), np.float64(2.5376072837261145)]",0.04923284033373279,8127,ngc0362,"[0.7321238500462665, 0.769903744969166]",2008,0.7514940239043825,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",2359,wpdc_spatial_epsf_joint,465,3027,4715,53.6796875,0.09588860886738045,"[np.float64(0.09287580026714756), np.float64(0.09917322137188424)]",0.9870967741935484,0.7786587380244466,0.4998939554612937,59.32544869999401,41.19822826388473,0.9391524809851504,0.4618851655888693,"[0.44824016015464163, 0.4755875144691416]",2357,5103
2.7154289853334457,"[np.float64(2.6122909992423917), np.float64(2.8155022410400976)]",0.054308579706668914,4835,ngc6093,"[0.539970817060544, 0.5930793138368657]",1334,0.5667166416791605,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1469,dao,300,1875,4656,40.48828125,0.3516999934036264,"[np.float64(0.3377408181677926), np.float64(0.3656659307035184)]",0.85,0.632,0.31529209621993126,0.15042300001368858,0.10446041667617262,0.9671623296158612,0.2565536525690318,"[0.24540352265262816, 0.2680304500929677]",1468,5722
6.401015934676206,"[np.float64(6.177392870666177), np.float64(6.616806741333589)]",0.12802031869352412,8438,ngc6093,"[0.45080971036220635, 0.5043419309083299]",1334,0.4775112443778111,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",2541,sep,300,1875,4656,7.5703125,0.29544621543881106,"[np.float64(0.2875370999118103), np.float64(0.30360506813556526)]",0.49666666666666665,0.5248,0.5420962199312714,10.31758470000932,7.164989375006472,0.9360257326661902,0.4435512058720727,"[0.4307207314071963, 0.4564574259487458]",2538,5722
3.0648161066001887,"[np.float64(2.92687160498662), np.float64(3.192211289442899)]",0.06129632213200377,4787,ngc6093,"[0.5392179825937711, 0.5923372030126564]",1334,0.5659670164917541,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1452,photutils_psf,300,1875,4656,86.734375,0.2098259991013284,"[np.float64(0.20042046361664878), np.float64(0.2184322665856611)]",0.85,0.6304,0.3118556701030928,13.259299500001362,9.207846875000946,0.966895690193629,0.2537574274729116,"[0.2426498206585188, 0.2651954539994459]",1452,5722
2.7271981971841357,"[np.float64(2.626418295288505), np.float64(2.823934708711537)]",0.054543963943682716,7292,ngc6093,"[0.78920665991289, 0.8311956358446944]",1334,0.8110944527736131,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",2053,wpdc_epsf_deblend,300,1875,4656,51.9140625,0.08327939602206909,"[np.float64(0.07991639081636709), np.float64(0.08630029663641801)]",0.9633333333333334,0.8384,0.4409364261168385,37.55915849999292,26.082748958328416,0.9484240687679083,0.358790632645928,"[0.346461142481657, 0.37130960409295993]",2053,5722
2.4417172542196623,"[np.float64(2.367878021714071), np.float64(2.519413992936286)]",0.048834345084393244,8874,ngc6093,"[0.9007461090136614, 0.9304434727724037]",1334,0.9167916041979011,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",2385,wpdc_spatial_epsf_joint,300,1875,4656,50.90625,0.08746578391054588,"[np.float64(0.08448480855252784), np.float64(0.0902898248372824)]",0.9833333333333333,0.9290666666666667,0.5120274914089347,65.73593910000636,45.64995770833775,0.9248322147651007,0.41663753932191544,"[0.40392352461423126, 0.4294634136482592]",2384,5722
2.4337031221665755,"[np.float64(2.3463437405514282), np.float64(2.5167691987405925)]",0.04867406244333151,4957,ngc6624,"[0.6436812947004145, 0.7153016238491228]",648,0.6805555555555556,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",1585,dao,153,1323,2772,36.18359375,0.20002708500190172,"[np.float64(0.19216517484050014), np.float64(0.20771339771955952)]",0.9411764705882353,0.7928949357520786,0.5717893217893217,0.15444579999893904,0.10725402777704099,0.9750593824228029,0.4598201334493763,"[0.4432361623410573, 0.47649356387993186]",1585,3447
3.0894742949193295,"[np.float64(2.958903337160248), np.float64(3.2192505407913474)]",0.061789485898386586,5500,ngc6624,"[0.22847562344965736, 0.2959487152240326]",648,0.26080246913580246,SEP/SExtractor-style,"conditional residual bootstrap, 1000 resamples",1680,sep,153,1323,2772,11.79296875,0.1440195769709741,"[np.float64(0.13769559429158496), np.float64(0.15003451636961507)]",0.46405228758169936,0.491307634164777,0.5238095238095238,9.177196699980414,6.373053263875287,0.9363686231486561,0.4862199013635045,"[0.4695589784271929, 0.5029115052948071]",1676,3447
1.3489244791413062,"[np.float64(1.2924577854889632), np.float64(1.405451885229858)]",0.026978489582826122,4956,ngc6624,"[0.6436812947004145, 0.7153016238491228]",648,0.6805555555555556,Photutils PSFPhotometry,"conditional residual bootstrap, 1000 resamples",1585,photutils_psf,153,1323,2772,93.35546875,0.10605050445514111,"[np.float64(0.10209818008656003), np.float64(0.11004844784827453)]",0.9411764705882353,0.7928949357520786,0.5717893217893217,13.38630860002013,9.296047638902868,0.9756387403446227,0.4598201334493763,"[0.4432361623410573, 0.47649356387993186]",1585,3447
1.5566837335262547,"[np.float64(1.503629172162829), np.float64(1.6074922074893656)]",0.031133674670525094,6690,ngc6624,"[0.887729452605166, 0.9314879769053164]",648,0.9120370370370371,WPDC ePSF + residual deblend,"conditional residual bootstrap, 1000 resamples",2015,wpdc_epsf_deblend,153,1323,2772,49.60546875,0.05918167738137769,"[np.float64(0.056820800277641526), np.float64(0.061309996219566495)]",0.9869281045751634,0.9470899470899471,0.7258297258297258,37.5858022000175,26.10125152778993,0.948471615720524,0.5836959675079779,"[0.567155321142734, 0.6000502671983825]",2012,3447
1.5026299750343517,"[np.float64(1.4519239205496286), np.float64(1.552297063811178)]",0.030052599500687033,6760,ngc6624,"[0.8997110503987488, 0.9409839896232443]",648,0.9228395061728395,WPDC spatial ePSF + joint fit,"conditional residual bootstrap, 1000 resamples",2031,wpdc_spatial_epsf_joint,153,1323,2772,52.40234375,0.05833431470803104,"[np.float64(0.056188865497964674), np.float64(0.060623178285384556)]",0.9934640522875817,0.9531368102796675,0.7323232323232324,52.286504199990304,36.310072361104375,0.9500860585197934,0.5889178996228605,"[0.572401938900539, 0.6052358871880301]",2030,3447
1.8379788896144764,"[np.float64(1.7395963455407468), np.float64(1.9281893871831954)]",0.03675957779228953,2554,ngc6397,"[0.2666473457440297, 0.811224570528086]",9,0.5555555555555556,DAOStarFinder,"conditional residual bootstrap, 1000 resamples",605,dao,248,472,621,39.86328125,0.030221954246463182,"[np.float64(0.02791194419348665), np.float64(0.03224087093444226)]",0.9798387096774194,0.9597457627118644,0.9533011272141707,0.2009156999993138,0.13952479166619014,0.8576512455516014,0.9540412044374009,"[0.9347747009094425, 0.9678126531643927]",602,631
