method,runtime_s_per_mpix_median,runtime_s_median,recall_v_le_18_median,recall_v_le_20_median,recall_v_le_22_median
dao,0.10851361112145241,0.15625960001489148,0.8,0.4740444951511694,0.22257462686567164
sep,6.373053263875287,9.177196699980414,0.5238095238095238,0.5592073465442242,0.5238095238095238
photutils_psf,7.775862430551367,11.19724189999397,0.7961538461538461,0.47290359383913294,0.22294776119402984
wpdc_epsf_deblend,24.849829791673983,35.783754900010535,0.9354838709677419,0.7283711938134364,0.37412513255567337
wpdc_spatial_epsf_joint,45.64995770833775,65.73593910000636,0.9705882352941176,0.8801353310778154,0.6235897435897436
